# 商户别名表：关键词 <TAB> 分类
# 匹配规则：对通知全文做「不区分大小写的子串匹配」；加载时按关键词长度降序排列，
# 因此更具体的词自动优先（如 "UBER EATS" 会先于 "UBER" 命中）。
# 分类必须是 Categories.EXPENSE 里的值，否则加载时忽略该行。
# 命中即返回，不命中才调用本地模型。

# ==================== 餐饮 ====================
# 悉尼 Parramatta 一带。银行描述里 '*' 已在匹配前归一化为空格。
# 餐饮
TONG LI	购物
CHICHA SAN CHEN	餐饮
PEPPERCORN KITCHEN	餐饮
RIVARENO	餐饮
MAISON DE THE	餐饮
MESSINA	餐饮
YILAN	餐饮
TOP CUT STEAK	餐饮
GAGA NOODLE	餐饮
SUSHI MUSA	餐饮
SWANKY NOODLES	餐饮
NAKED DUCK	餐饮
HUNGRYPANDA	餐饮
KICKIN INN	餐饮
LOK LOK	餐饮
PROFITEROLE	餐饮
SHONE CHI	餐饮
ADORA HANDMADE	餐饮
GUSMAN	餐饮
GUZMAN	餐饮
FRESH MEAT	购物
OCEAN TRADING	购物
# 购物
NIKE	购物
H&M	购物
HENNES	购物
MR LIQUOR	购物
# 居住（电信）
FELIX MOBILE	居住
# 其他（订阅与手续费）
APPLE.COM/BILL	其他
INTERNATIONAL TRANSACTION FEE	其他
OPENAI	其他
ANTHROPIC	其他

# ==================== 医疗（自定义分类，用户没建时这些规则自动跳过）====================
医院	医疗
诊所	医疗
挂号	医疗
药房	医疗
药店	医疗
牙科	医疗
体检	医疗
宠物医院	医疗
兽医	医疗
MEDICAL CENTRE	医疗
MEDICAL CENTER	医疗
DENTAL	医疗
DENTIST	医疗
PATHOLOGY	医疗
OPTOMETRIST	医疗
PHYSIO	医疗
VET	医疗
GP CLINIC	医疗
